TRIAL,SCORE,WEIGHT,THRESHOLD,PARAMS
36,0.81019,0.342,0.513,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.0488463256461423, 'subsample': 0.7354378930019547, 'colsample_bytree': 0.6694037800219395, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
37,0.81019,0.597,0.546,"{'max_depth': 5, 'n_estimators': 500, 'learning_rate': 0.07798507383680915, 'subsample': 0.903944669222162, 'colsample_bytree': 0.6354633615023181, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
38,0.80927,0.534,0.507,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.09551673819064696, 'subsample': 0.6630559834419625, 'colsample_bytree': 0.8272528577146242, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
39,0.81065,0.628,0.481,"{'max_depth': 5, 'n_estimators': 1500, 'learning_rate': 0.03381593878747184, 'subsample': 0.9789831659736724, 'colsample_bytree': 0.7902154484493199, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
40,0.80467,0.800,0.589,"{'max_depth': 6, 'n_estimators': 1200, 'learning_rate': 0.026775840277562038, 'subsample': 0.8565619915224437, 'colsample_bytree': 0.8475332552159894, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
41,0.81031,0.438,0.480,"{'max_depth': 5, 'n_estimators': 1200, 'learning_rate': 0.06502532353697114, 'subsample': 0.8935755698582311, 'colsample_bytree': 0.6947088716038199, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
42,0.80364,0.475,0.351,"{'max_depth': 5, 'n_estimators': 1200, 'learning_rate': 0.055000567339888236, 'subsample': 0.949767986151374, 'colsample_bytree': 0.7096356118690492, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
43,0.81123,0.389,0.454,"{'max_depth': 5, 'n_estimators': 1200, 'learning_rate': 0.06932010068699002, 'subsample': 0.8756891453589909, 'colsample_bytree': 0.7332345741900338, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
44,0.79639,0.126,0.648,"{'max_depth': 5, 'n_estimators': 1200, 'learning_rate': 0.045789850239674565, 'subsample': 0.915692297114793, 'colsample_bytree': 0.6577367814646559, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
45,0.81226,0.186,0.531,"{'max_depth': 5, 'n_estimators': 300, 'learning_rate': 0.05439429975512894, 'subsample': 0.9758404054337497, 'colsample_bytree': 0.7690720939672334, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
46,0.81203,0.173,0.528,"{'max_depth': 5, 'n_estimators': 300, 'learning_rate': 0.04006993234452792, 'subsample': 0.9712841710910697, 'colsample_bytree': 0.7652073559851512, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
47,0.80996,0.183,0.549,"{'max_depth': 5, 'n_estimators': 300, 'learning_rate': 0.08483093886702951, 'subsample': 0.9798658181136399, 'colsample_bytree': 0.7636916458819224, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
48,0.81203,0.102,0.536,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.04166140731686091, 'subsample': 0.9968463205117384, 'colsample_bytree': 0.7914147759658845, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
49,0.80099,0.079,0.618,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.017938708284169266, 'subsample': 0.9985765443571795, 'colsample_bytree': 0.8859720491160069, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
50,0.80732,0.198,0.561,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.051093098176619126, 'subsample': 0.9757919260928453, 'colsample_bytree': 0.8057537826197783, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
51,0.81157,0.062,0.538,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.040579748868242387, 'subsample': 0.9416989144932252, 'colsample_bytree': 0.7892983068344102, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
52,0.81410,0.133,0.499,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.046142922415132924, 'subsample': 0.9650176304494139, 'colsample_bytree': 0.8313180085448915, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
53,0.81192,0.134,0.527,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.0452587340293357, 'subsample': 0.9694694535748689, 'colsample_bytree': 0.8273947976549598, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
54,0.81341,0.244,0.504,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.060001651946212646, 'subsample': 0.9879066911452837, 'colsample_bytree': 0.8842642734161832, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
55,0.81295,0.235,0.500,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.07361845542601318, 'subsample': 0.9843705219242287, 'colsample_bytree': 0.9112558578839413, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
56,0.81215,0.246,0.498,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.07413982958314135, 'subsample': 0.9370021829337349, 'colsample_bytree': 0.9388535328431471, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
57,0.81307,0.244,0.497,"{'max_depth': 6, 'n_estimators': 300, 'learning_rate': 0.07185357613496786, 'subsample': 0.9349985200112401, 'colsample_bytree': 0.9510767783777304, 'tree_method': 'hist', 'device': 'cuda', 'random_state': 42, 'verbosity': 0}"
